name;Partei;Twitter
Dr. Bernd Baumann;AfD;NA
Marc Bernhard;AfD;NA
Andreas Bleck;AfD;NA
Peter Boehringer;AfD;NA
Stephan Brandner;AfD;stbrandner
Jürgen Braun;AfD;NA
Marcus Bühl;AfD;NA
Matthias Büttner;AfD;NA
Petr Bystron;AfD;BystronAfD
Tino Chrupalla;AfD;NA
Joana Cotar;AfD;JoanaCotar
Dr. Gottfried Curio;AfD;GottfriedCurio
Siegbert F. Droese;AfD;NA
Thomas Ehrhorn;AfD;NA
Berengar Elsner von Gronow;AfD;elsnervongronow
Dr. Michael Espendiller;AfD;EspendillerM
Peter Felser;AfD;NA
Dietmar Friedhoff;AfD;NA
Dr. Anton Friesen;AfD;NA
Markus Frohnmaier;AfD;frohnmaier_afd?lang=de
Dr. Götz Frömming;AfD;gtzfrmming?lang=de
Dr. Alexander Gauland;AfD;NA
Prof. Dr. med. Axel Gehrke;AfD;axelgehrke?lang=de
Albrecht Glaser;AfD;NA
Franziska Gminder;AfD;NA
Wilhelm von Gottberg;AfD;NA
Kay Gottschalk;AfD;kaygottschalk1
Armin-Paulus Hampel;AfD;NA
Mariana Harder-Kühnel;AfD;NA
Dr. Roland Hartwig;AfD;NA
Jochen Haug;AfD;Jochen_Haug
Martin Hebner;AfD;NA
Udo Hemmelgarn;AfD;UdoHemmelgarn
Waldemar Herdt;AfD;NA
Martin Hess;AfD;NA
Prof. Dr.-Ing. Heiko Hessenkemper;AfD;NA
Karsten Hilse;AfD;NA
Nicole Höchst;AfD;NA
Martin Hohmann;AfD;NA
Dr. Bruno Hollnagel;AfD;NA
Leif-Erik Holm;AfD;Leif_Erik_Holm
Johannes Huber;AfD;NA
Fabian Jacobi;AfD;Jacobi_AfD
Dr. Marc Jongen;AfD;NA
Jens Kestner;AfD;NA
Stefan Keuter;AfD;NA
Norbert Kleinwächter;AfD;NA
Enrico Komning;AfD;EnricoKomning
Jörn König;AfD;NA
Dipl. Ing. Steffen Kotré;AfD;steffenkotre
Dr. Rainer Kraft;AfD;NA
Rüdiger Lucassen;AfD;MdB_Lucassen?lang=de
Frank Magnitz;AfD;NA
Prof. Dr. Lothar Maier;AfD;NA
Jens Maier;AfD;NA
Dr. Birgit Malsack-Winkemann;AfD;NA
Corinna Miazga;AfD;CorinnaMiazga
Andreas Mrosek;AfD;NA
Hansjörg Müller;AfD;NA
Volker Münz;AfD;NA
Sebastian Münzenmaier;AfD;s_muenzenmaier
Christoph Neumann;AfD;NA
Jan Nolte;AfD;NA
Ulrich Oehme;AfD;NA
Gerold Otten;AfD;ttte94
Frank Pasemann;AfD;NA
Tobias Matthias Peterka;AfD;NA
Paul Viktor Podolay;AfD;paul_podolay?lang=de
Jürgen Pohl;AfD;NA
Stephan Protschka;AfD;ProtschkaStepha
Martin Reichardt;AfD;NA
Martin E. Renner;AfD;NA
Roman Reusch;AfD;NA
Ulrike Schielke-Ziesing;AfD;NA
Dr. med Robby Schlund;AfD;drrobbyschlund?lang=de
Jörg Schneider;AfD;NA
Uwe Schulz;AfD;NA
Thomas Seitz;AfD;NA
Martin Sichert;AfD;http://twitter/AfDNbg
Detlev Spangenberg;AfD;NA
Dr.-Ing. Dirk Spaniel;AfD;NA
René Springer;AfD;SpringerRen
Beatrix von Storch;AfD;Beatrix_vStorch
Dr. Alice Weidel;AfD;alice_weidel?lang=de
Prof. Dr. Harald Weyel;AfD;NA
Wolfgang Wiehle;AfD;NA
Dr. Heiko Wildberg;AfD;NA
Dr. Christian Wirth;AfD;NA
Uwe Witt;AfD;Witt_Uwe
