Column1;value;value_1;V1;V2;V3;V4;V5;V6;V7;V8;V9
1;Gustav Herzog;SPD;Ausschuss Digitale Agenda;Ausschuss für Verkehr und digitale Infrastruktur;Ausschuss für Bildung, Forschung u. Technikfolgenabschätzung;Ausschuss für Ernährung und Landwirtschaft;NA;NA;NA;NA;NA
2;Lars Klingbeil;SPD;Ausschuss Digitale Agenda;Verteidigungsausschuss;NA;NA;NA;NA;NA;NA;NA
3;Ulrich Lechte;FDP;Auswärtiger Ausschuss;NA;NA;NA;NA;NA;NA;NA;NA
4;Erwin Rüddel;CDU;Ausschuss für Gesundheit;Ausschuss für Familie, Senioren, Frauen und Jugend;NA;NA;NA;NA;NA;NA;NA
5;Johannes Kahrs;SPD;Haushaltsausschuss;Ausschuss für Kultur und Medien;Rechnungsprüfungsausschuss;Verteidigungsausschuss;NA;NA;NA;NA;NA
6;Dr. Kirsten Kappert-Gonther;DIE GRÜNEN;Ausschuss für Gesundheit;Ausschuss für Kultur und Medien;NA;NA;NA;NA;NA;NA;NA
7;Daniela Ludwig;CSU;Ausschuss für Umwelt, Naturschutz und nukleare Sicherheit;NA;NA;NA;NA;NA;NA;NA;NA
8;Niels Annen;SPD;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;Dr. Konstantin von Notz;DIE GRÜNEN;Parlamentarisches Kontrollgremium (PKGr);Ausschuss für Inneres und Heimat;NA;NA;NA;NA;NA;NA;NA
10;Dr. Eva Högl;SPD;Parlamentarisches Kontrollgremium (PKGr);Ausschuss für Inneres und Heimat;Ausschuss für Kultur und Medien;Ausschuss für Recht und Verbraucherschutz;Ausschuss für Wahlprüfung, Immunität und Geschäftsordnung;Sportausschuss;NA;NA;NA
11;Anja Karliczek;CDU;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;Dr. Rolf Mützenich;SPD;Ausschuss für Menschenrechte und humanitäre Hilfe;Verteidigungsausschuss;NA;NA;NA;NA;NA;NA;NA
